ID,Lable
1001,A
1002,C
1003,C
1004,C
1005,C
1006,C
1007,A
1008,C
1009,C
1010,A
1011,A
1012,A
1013,A
1014,C
1015,C
1016,C
1017,A
1018,A
1019,F
1020,A
1021,C
1022,A
1023,A
1024,A
1025,B
1026,C
1027,C
1028,H
1029,A
1030,C
1031,A
1032,A
1033,A
1034,H
1035,H
1036,A
1037,A
1038,A
1039,A
1040,A
1041,C
1042,C
1043,A
1044,A
1045,C
1046,C
1047,A
1048,A
1049,A
1050,C
1051,C
1052,C
1053,A
1054,C
1055,H
1056,C
1057,C
1058,A
1059,A
1060,C
1061,A
1062,A
1063,C
1064,E
1065,A
1066,C
1067,H
1068,C
1069,C
1070,C
1071,A
1072,A
1073,H
1074,C
1075,C
1076,A
1077,C
1078,A
1079,C
1080,C
1081,A
1082,H
1083,A
1084,C
1085,H
1086,A
1087,A
1088,C
1089,A
1090,A
1091,C
1092,A
1093,B
1094,C
1095,H
1096,A
1097,A
1098,A
1099,A
1100,A
1101,A
1102,C
1103,A
1104,A
1105,H
1106,A
1107,C
1108,A
1109,C
1110,A
1111,H
1112,A
1113,A
1114,A
1115,C
1116,H
1117,A
1118,A
1119,A
1120,A
1121,A
1122,C
1123,H
1124,C
1125,C
1126,A
1127,C
1128,C
1129,C
1130,C
1131,C
1132,A
1133,A
1134,A
1135,A
1136,A
1137,C
1138,C
1139,A
1140,H
1141,C
1142,C
1143,C
1144,C
1145,A
1146,C
1147,H
1148,A
1149,H
1150,A
1151,C
1152,A
1153,A
1154,B
1155,A
1156,C
1157,C
1158,A
1159,C
1160,A
1161,A
1162,A
1163,A
1164,H
1165,H
1166,A
1167,A
1168,A
1169,A
1170,C
1171,C
1172,H
1173,A
1174,C
1175,C
1176,C
1177,A
1178,A
1179,C
1180,C
1181,A
1182,H
1183,C
1184,H
1185,A
1186,C
1187,C
1188,H
1189,C
1190,A
1191,C
1192,A
1193,C
1194,A
1195,C
1196,C
1197,C
1198,C
1199,C
1200,A
1201,B
1202,H
1203,C
1204,H
1205,H
1206,H
1207,A
1208,A
1209,A
1210,C
1211,C
1212,C
1213,A
1214,C
1215,H
1216,H
1217,A
1218,A
1219,A
1220,C
1221,E
1222,G
1223,C
1224,A
1225,B
1226,A
1227,B
1228,C
1229,C
1230,A
1231,C
1232,C
1233,H
1234,C
1235,C
1236,A
1237,A
1238,A
1239,A
1240,C
1241,A
1242,A
1243,C
1244,C
1245,C
1246,C
1247,C
1248,C
1249,C
1250,H
1251,H
1252,A
1253,A
1254,C
1255,C
1256,C
1257,H
1258,C
1259,C
1260,A
1261,C
1262,B
1263,H
1264,H
1265,C
1266,A
1267,C
1268,B
1269,H
1270,C
1271,A
1272,C
1273,A
1274,A
1275,A
1276,A
1277,E
1278,A
1279,A
1280,A
1281,A
1282,A
1283,A
1284,A
1285,A
1286,A
1287,A
1288,A
1289,A
